Date,CAC,CLV/ Month,CPA
2015-10-01,154080,122339,103832
2015-10-02,150716,144962,109550
2015-10-03,147830,163767,107935
2015-10-04,127413,173763,92695
2015-10-05,106655,176818,78186
2015-10-06,101013,183946,69075
2015-10-07,117831,191596,78445
2015-10-08,89043,194781,59526
2015-10-09,69287,193382,53444
2015-10-10,106343,200772,71041
2015-10-11,112681,201908,96236
2015-10-12,128229,205659,88102
2015-10-13,125948,209292,85960
2015-10-14,129246,212526,94764
2015-10-15,123168,216154,83125
2015-10-16,122978,219120,81123
2015-10-17,138708,221998,97744
2015-10-18,130569,222981,95528
2015-10-19,134333,225958,83038
2015-10-20,144722,229023,86557
2015-10-21,142554,232201,82189
2015-10-22,159407,234915,99879
2015-10-23,154788,238385,88326
2015-10-24,160260,240484,101505
2015-10-25,166149,242632,114035
2015-10-26,99000,242962,65228
2015-10-27,106585,246407,60594
2015-10-28,106448,249905,58806
2015-10-29,117059,251123,71467
2015-10-30,161535,254713,85611
2015-10-31,163167,257401,88883