date,Total Users,Total User D-1,New Users,New Members,First Time (Presto),New Repeat (Presto),New Loyal (Presto),Revenue,Transactions,Member All Time,Customer Today,Customer This Month,First Time All Time,Repeat All Time,Loyal All Time,Daily Session (GA),Daily Users (GA),New Member Conversion,New First Time Conversion,New Repeat Conversion,New Loyal Conversion,Total Mkt Cost,CAC,CLV/ Month,TRx/month,CPA,Referral,Referral All TIme
2015-10-01,2604544.00,2581626.00,22918.00,3347.00,1370.00,374.00,218.00,323708000.00,2033.00,186332.00,2646.00,2646.00,82735.00,29049.00,15685.00,93558.00,50923.00,0.15,0.41,0.27,0.58,211090072.00,154080.00,122339.00,0.77,103832.00,48.00,2382.00
2015-10-02,2634270.00,2604544.00,29726.00,2684.00,1791.00,411.00,205.00,396896000.00,2464.00,189016.00,3076.00,4971.00,84161.00,29467.00,15892.00,116903.00,62749.00,0.09,0.67,0.23,0.50,269931726.00,150716.00,144962.00,0.90,109550.00,87.00,2469.00
2015-10-03,2665495.00,2634270.00,31225.00,2376.00,1626.00,324.00,163.00,365007000.00,2227.00,191392.00,2663.00,6629.00,85244.00,29775.00,16041.00,113100.00,63128.00,0.08,0.68,0.20,0.50,240371372.00,147830.00,163767.00,1.01,107935.00,53.00,2522.00
2015-10-04,2692001.00,2665495.00,26506.00,2279.00,1594.00,293.00,159.00,356275000.00,2191.00,193671.00,2616.00,8298.00,86340.00,30069.00,16200.00,99336.00,55696.00,0.09,0.70,0.18,0.54,203095800.00,127413.00,173763.00,1.07,92695.00,46.00,2568.00
2015-10-05,2721780.00,2692001.00,29779.00,2796.00,1840.00,379.00,203.00,397380000.00,2510.00,196467.00,3147.00,10402.00,87682.00,30485.00,16390.00,116896.00,65068.00,0.09,0.66,0.21,0.54,196245681.00,106655.00,176818.00,1.10,78186.00,104.00,2672.00
2015-10-06,2751090.00,2721780.00,29310.00,2644.00,1834.00,364.00,182.00,420878000.00,2682.00,199111.00,3027.00,12287.00,89016.00,30876.00,16574.00,116207.00,64993.00,0.09,0.69,0.20,0.50,185258189.00,101013.00,183946.00,1.15,69075.00,102.00,2774.00
2015-10-07,2781251.00,2751090.00,30161.00,2608.00,1681.00,377.00,181.00,427376000.00,2525.00,201719.00,2932.00,14027.00,90200.00,31259.00,16761.00,118287.00,66443.00,0.09,0.64,0.22,0.48,198074239.00,117831.00,191596.00,1.19,78445.00,89.00,2863.00
2015-10-08,2809999.00,2781251.00,28748.00,3584.00,2061.00,446.00,242.00,481765000.00,3083.00,205303.00,3473.00,16271.00,91813.00,31727.00,17023.00,126240.00,67685.00,0.12,0.58,0.22,0.54,183517322.00,89043.00,194781.00,1.21,59526.00,152.00,3015.00
2015-10-09,2855943.00,2809999.00,45944.00,3999.00,2702.00,527.00,273.00,531279000.00,3503.00,209302.00,4348.00,19136.00,93982.00,32332.00,17306.00,156111.00,89927.00,0.09,0.68,0.20,0.52,187213927.00,69287.00,193382.00,1.21,53444.00,137.00,3152.00
2015-10-10,2885867.00,2855943.00,29924.00,2714.00,1789.00,410.00,176.00,438949000.00,2678.00,212016.00,3022.00,20618.00,95044.00,32693.00,17476.00,119578.00,67092.00,0.09,0.66,0.23,0.43,190247735.00,106343.00,200772.00,1.26,71041.00,122.00,3274.00
2015-10-11,2912680.00,2885867.00,26813.00,2623.00,1738.00,301.00,167.00,327103000.00,2035.00,214639.00,2673.00,22122.00,96248.00,32962.00,17630.00,100550.00,58525.00,0.10,0.66,0.17,0.55,195839872.00,112681.00,201908.00,1.26,96236.00,99.00,3373.00
2015-10-12,2944827.00,2912680.00,32147.00,2610.00,1673.00,371.00,164.00,384057000.00,2435.00,217249.00,2861.00,23586.00,97348.00,33328.00,17749.00,122448.00,68996.00,0.08,0.64,0.22,0.44,214527178.00,128229.00,205659.00,1.29,88102.00,93.00,3466.00
2015-10-13,2976107.00,2944827.00,31280.00,2333.00,1638.00,375.00,194.00,401731000.00,2400.00,219582.00,2873.00,25096.00,98521.00,33718.00,17984.00,125411.00,70046.00,0.07,0.70,0.23,0.52,206302838.00,125948.00,209292.00,1.31,85960.00,87.00,3553.00
2015-10-14,3004600.00,2976107.00,28493.00,2175.00,1517.00,332.00,162.00,354256000.00,2069.00,221757.00,2569.00,26381.00,99545.00,34008.00,18122.00,112226.00,63218.00,0.08,0.70,0.22,0.49,196066864.00,129246.00,212526.00,1.32,94764.00,83.00,3636.00
2015-10-15,3033215.00,3004600.00,28615.00,2318.00,1559.00,349.00,184.00,402413000.00,2310.00,224075.00,2788.00,27800.00,100635.00,34367.00,18317.00,117207.00,65614.00,0.08,0.67,0.22,0.53,192018418.00,123168.00,216154.00,1.34,83125.00,91.00,3727.00
2015-10-16,3060323.00,3033215.00,27108.00,2165.00,1632.00,397.00,189.00,400858000.00,2474.00,226240.00,2904.00,29253.00,101805.00,34762.00,18506.00,115556.00,64316.00,0.08,0.75,0.24,0.48,200699362.00,122978.00,219120.00,1.35,81123.00,87.00,3814.00
2015-10-17,3086155.00,3060323.00,25832.00,1784.00,1341.00,333.00,147.00,320838000.00,1903.00,228024.00,2339.00,30319.00,102662.00,35056.00,18632.00,103194.00,58667.00,0.07,0.75,0.25,0.44,186007669.00,138708.00,221998.00,1.37,97744.00,82.00,3896.00
2015-10-18,3110706.00,3086155.00,24551.00,1768.00,1374.00,294.00,157.00,300938000.00,1878.00,229792.00,2307.00,31535.00,103658.00,35369.00,18778.00,96274.00,55785.00,0.07,0.78,0.21,0.53,179401397.00,130569.00,222981.00,1.38,95528.00,57.00,3953.00
2015-10-19,3134945.00,3110706.00,24239.00,1715.00,1342.00,392.00,187.00,355096000.00,2171.00,231507.00,2568.00,32691.00,104581.00,35755.00,18988.00,106681.00,59760.00,0.07,0.78,0.29,0.48,180274413.00,134333.00,225958.00,1.39,83038.00,63.00,4016.00
2015-10-20,3159495.00,3134945.00,24550.00,1779.00,1378.00,406.00,217.00,385312000.00,2304.00,233286.00,2673.00,33936.00,105583.00,36165.00,19210.00,109939.00,61655.00,0.07,0.77,0.29,0.53,199426728.00,144722.00,229023.00,1.41,86557.00,90.00,4106.00
2015-10-21,3184356.00,3159495.00,24861.00,1848.00,1352.00,415.00,207.00,392057000.00,2345.00,235134.00,2628.00,35160.00,106559.00,36563.00,19414.00,112945.00,63035.00,0.07,0.73,0.31,0.50,192733505.00,142554.00,232201.00,1.43,82189.00,84.00,4190.00
2015-10-22,3210923.00,3184356.00,26567.00,1983.00,1547.00,428.00,233.00,430189000.00,2469.00,237117.00,2868.00,36585.00,107757.00,37007.00,19663.00,117351.00,65391.00,0.07,0.78,0.28,0.54,246602312.00,159407.00,234915.00,1.44,99879.00,85.00,4275.00
2015-10-23,3237012.00,3210923.00,26089.00,1926.00,1519.00,487.00,210.00,455674000.00,2662.00,239043.00,2966.00,37964.00,108898.00,37468.00,19875.00,115944.00,64756.00,0.07,0.79,0.32,0.43,235123523.00,154788.00,238385.00,1.46,88326.00,98.00,4373.00
2015-10-24,3262712.00,3237012.00,25700.00,1897.00,1465.00,416.00,233.00,389198000.00,2313.00,240940.00,2764.00,39251.00,109966.00,37875.00,20113.00,111988.00,63440.00,0.07,0.77,0.28,0.56,234780247.00,160260.00,240484.00,1.47,101505.00,90.00,4463.00
2015-10-25,3286803.00,3262712.00,24091.00,1810.00,1407.00,335.00,176.00,352444000.00,2050.00,242750.00,2480.00,40356.00,110922.00,38205.00,20275.00,98948.00,57026.00,0.08,0.81,0.23,0.53,233771473.00,166149.00,242632.00,1.48,114035.00,54.00,4517.00
2015-10-26,3323180.00,3286803.00,36377.00,2502.00,2169.00,646.00,380.00,530083000.00,3292.00,245252.00,4206.00,42483.00,112648.00,38881.00,20692.00,152063.00,84906.00,0.07,0.87,0.30,0.59,214730410.00,99000.00,242962.00,1.48,65228.00,89.00,4606.00
2015-10-27,3355318.00,3323180.00,32138.00,2282.00,1913.00,568.00,315.00,560540000.00,3365.00,247534.00,3653.00,44164.00,114024.00,39415.00,20984.00,141313.00,78295.00,0.07,0.84,0.30,0.55,203897530.00,106585.00,246407.00,1.50,60594.00,112.00,4718.00
2015-10-28,3389542.00,3355318.00,34224.00,2198.00,1854.00,544.00,310.00,558361000.00,3356.00,249732.00,3617.00,45780.00,115345.00,39954.00,21301.00,142959.00,80469.00,0.06,0.84,0.29,0.57,197354328.00,106448.00,249905.00,1.52,58806.00,138.00,4856.00
2015-10-29,3425776.00,3389542.00,36234.00,2664.00,2298.00,664.00,356.00,604963000.00,3764.00,252396.00,4398.00,47967.00,117160.00,40643.00,21677.00,148344.00,85301.00,0.07,0.86,0.29,0.54,269002697.00,117059.00,251123.00,1.53,71467.00,132.00,4988.00
2015-10-30,3454372.00,3425776.00,28596.00,2472.00,1688.00,488.00,276.00,520396000.00,3185.00,254868.00,3389.00,49334.00,118271.00,41104.00,21934.00,128894.00,73067.00,0.09,0.68,0.29,0.57,272671535.00,161535.00,254713.00,1.55,85611.00,92.00,5080.00
2015-10-31,3477340.00,3454372.00,22968.00,2270.00,1589.00,410.00,212.00,470568000.00,2917.00,257138.00,2931.00,50647.00,119419.00,41501.00,22154.00,102819.00,57254.00,0.10,0.70,0.26,0.52,259272113.00,163167.00,257401.00,1.57,88883.00,71.00,5151.00